0.0,465.1,58.3,422.5,422.5,1464.1,3217.0,647.3,706.1,516.8,59.0,648.1,452.3,689.5,1379.3,218.1,3177.0,59.2,567.2
479.7,0.0,538.1,221.2,221.2,1943.8,2844.4,274.8,343.1,153.8,538.8,275.6,932.0,1169.3,1859.0,530.4,3656.8,538.9,1046.9
58.3,523.4,0.0,480.8,480.8,1405.7,3275.3,705.7,764.5,575.1,-0.7,706.5,394.0,631.2,1321.0,276.4,3118.7,-0.8,508.8
422.5,111.0,480.8,0.0,0.0,1886.5,2958.5,388.8,447.6,258.3,481.5,389.6,874.8,1112.0,1801.8,473.1,3599.5,481.6,989.6
422.5,111.0,480.8,0.0,0.0,1886.5,2958.5,388.8,447.6,258.3,481.5,389.6,874.8,1112.0,1801.8,473.1,3599.5,481.6,989.6
1464.1,1929.2,1405.7,1886.5,1886.5,0.0,4681.1,2111.4,2170.2,1980.9,1405.1,2112.2,1318.8,1517.6,1429.9,1682.2,1775.8,1404.9,1395.2
3228.1,3012.2,3286.5,2969.6,2969.6,4692.2,0.0,2677.2,3091.5,2902.1,3287.1,2678.0,3680.4,3917.6,4607.4,3278.8,6405.2,3287.3,3795.3
647.3,431.4,705.7,388.8,388.8,2111.4,2666.0,0.0,510.7,321.3,706.4,0.8,1099.6,1336.9,2026.6,698.0,3824.4,706.5,1214.5
706.1,490.2,764.5,447.6,447.6,2170.2,2932.0,510.7,0.0,189.3,765.2,511.5,1158.4,1395.7,2085.4,756.8,3883.2,765.3,1273.3
516.8,300.9,575.1,258.3,258.3,1980.9,2891.0,321.3,189.3,0.0,575.8,322.1,969.1,1206.3,1896.1,567.4,3693.8,576.0,1084.0
59.0,524.1,-0.7,481.5,481.5,1405.1,3276.0,706.4,765.2,575.8,0.0,707.1,393.3,630.5,1320.3,277.1,3118.0,-0.1,508.1
648.1,432.2,706.5,389.6,389.6,2112.2,2666.8,0.8,511.5,322.1,707.1,0.0,1100.4,1337.7,2027.4,698.8,3825.2,707.3,1215.3
452.3,917.4,394.0,874.8,874.8,1318.8,3669.3,1099.6,1158.4,969.1,393.3,1100.4,0.0,544.3,1234.0,670.4,3031.8,393.1,421.9
689.5,1154.6,631.2,1112.0,1112.0,1517.6,3906.5,1336.9,1395.7,1206.3,630.5,1337.7,544.3,0.0,1432.8,907.6,3230.6,630.4,292.7
1379.3,1844.4,1321.0,1801.8,1801.8,1429.9,4596.3,2026.6,2085.4,1896.1,1320.3,2027.4,1234.0,1432.8,0.0,1597.4,2452.9,1320.1,757.1
218.1,515.7,276.4,473.1,473.1,1682.2,3267.6,698.0,756.8,567.4,277.1,698.8,670.4,907.6,1597.4,0.0,3395.1,277.3,785.3
3134.7,3599.7,3076.3,3557.1,3557.1,1733.5,6351.6,3782.0,3840.8,3651.5,3075.6,3782.8,2989.4,3188.2,2410.5,3352.8,0.0,3075.5,3065.8
59.2,524.2,-0.8,481.6,481.6,1404.9,3276.1,706.5,765.3,576.0,-0.1,707.3,393.1,630.4,1320.1,277.3,3117.9,0.0,508.0
567.2,1032.2,508.8,989.6,989.6,1395.2,3784.1,1214.5,1273.3,1084.0,508.1,1215.3,421.9,292.7,757.1,785.3,3108.2,508.0,0.0
